Company,Company Score,Job Title,Location,Date,Salary,Cleaned_Salary,Experience_Level,Salary_Scaled,Salary_Bonus
"7-Eleven, Inc.",3.4,Software Engineer,"Irving, TX",1d,$85K - $150K (Employer est.),117500.0,Mid Level,-0.1558687003470967,5875.0
"Summit Technologies, Inc.",4.2,Software Engineer,"Springfield, MA",10d,$48K - $89K (Glassdoor est.),68500.0,Junior,-1.2515136403716192,3425.0
Adobe,2.9,Software Development Engineer,"San Jose, CA",10d,$66K - $97K (Glassdoor est.),81500.0,Mid Level,-0.9608323297528684,4075.0
The MITRE Corporation,4.0,Associate Software Engineer,"Bedford, MA",2d,$108K - $199K (Employer est.),153500.0,Senior,0.6490949290586748,15350.0
Boston Children's Hospital,4.1,Software Engineer - HA (Hybrid),"Boston, MA",30d+,$102K - $173K (Employer est.),137500.0,Senior,0.29133331598944306,13750.0
Amex,3.2,Engineer - React/JavaScript,"Sunrise, FL",5d,$124K - $142K (Employer est.),133000.0,Senior,0.19071286231372162,13300.0
Ahold Delhaize USA,4.0,Software Engineer - Martech,"Carlisle, PA",2d,$94K - $133K (Glassdoor est.),113500.0,Mid Level,-0.2453091036144047,5675.0
Artera Technologies,4.2,Software Engineers,"Annapolis Junction, MD",6d,$70K - $116K (Glassdoor est.),93000.0,Mid Level,-0.7036911703593579,4650.0
Adobe,4.3,Software Engineer,"Lehi, UT",13d,$142K - $178K (Employer est.),160000.0,Senior,0.7944355843680503,16000.0
Workiva,3.5,Senior Software Engineer,Remote,3d,$87K - $135K (Employer est.),111000.0,Mid Level,-0.30120935565647217,5550.0
Samsung Electronics,3.4,Software Engineer,"Mountain View, CA",2d,$77K - $182K (Employer est.),129500.0,Senior,0.11245250945482714,12950.0
IPG Photonics,3.7,Software Engineer,"Oxford, MA",4d,$101K - $144K (Glassdoor est.),122500.0,Senior,-0.04406819626296178,12250.0
Crafty,3.3,Software Engineer,"Chicago, IL",2d,$101K - $168K (Employer est.),134500.0,Senior,0.2242530135389621,13450.0
"Crunchyroll, LLC",4.2,"Software Engineer III, Payments","San Francisco, CA",13d,$74K - $118K (Glassdoor est.),96000.0,Mid Level,-0.636610867908877,4800.0
LEGO,3.9,Backend Software Engineer,"Irvine, CA",9d,$100K - $200K (Employer est.),150000.0,Senior,0.5708345761997804,15000.0
Principal Financial Group,4.1,Experienced Software Engineer,"Des Moines, IA",2d,$51K - $78K (Glassdoor est.),64500.0,Junior,-1.3409540436389271,3225.0
INTEL,3.4,Security Software Engineer,"Phoenix, AZ",22d,$71K - $237K (Employer est.),154000.0,Senior,0.6602749794670884,15400.0
Hasbro,4.4,"Software Engineer, Unreal Engine","Renton, WA",18d,$87K - $116K (Glassdoor est.),101500.0,Mid Level,-0.5136303134163286,5075.0
Software Engineering Institute,4.2,Software Engineer,"Pittsburgh, PA",30d+,$116K - $184K (Employer est.),150000.0,Senior,0.5708345761997804,15000.0
University of Dayton,4.4,Associate Software Engineer,"Dayton, OH",2d,$75K - $103K (Glassdoor est.),89000.0,Mid Level,-0.7931315736266659,4450.0
MIT,3.7,Software Developer,"Cambridge, MA",17d,$155K - $221K (Employer est.),188000.0,Senior,1.420518407239206,18800.0
Amazon.com Services LLC,5.0,Software Dev Engineer - Computer Science,"Seattle, WA",2d,$112K - $165K (Employer est.),138500.0,Senior,0.31369341680627005,13850.0
DaqScribe Solutions,3.9,Jr. Software Engineer,United States,10d,$73K - $109K (Glassdoor est.),91000.0,Mid Level,-0.7484113719930119,4550.0
West Virginia University,4.5,Software Engineer - Libraries,"Morgantown, WV",4d,$120K - $150K (Employer est.),135000.0,Senior,0.2354330639473756,13500.0
McKesson,3.9,Software Engineer,Unknown,2d,$88K - $124K (Glassdoor est.),106000.0,Mid Level,-0.4130098597406071,5300.0
Noblis,2.0,Software Engineer (All Levels),"Chantilly, VA",1d,$77K - $87K (Employer est.),82000.0,Mid Level,-0.9496522793444548,4100.0
eimagine,3.5,Software Engineer,United States,30d+,$65K - $90K (Employer est.),77500.0,Mid Level,-1.0502727330201762,3875.0
CSL SOFTWARE SOLUTIONS,4.1,Software/Database Developer,"Burlington, VT",18d,$74K - $101K (Glassdoor est.),87500.0,Mid Level,-0.8266717248519064,4375.0
Chewy,3.8,Software Engineer II,"Bellevue, WA",2d,$74K - $111K (Glassdoor est.),92500.0,Mid Level,-0.7148712207677714,4625.0
ERPA,4.3,Software Test Engineer,"Dublin, OH",2d,$147K - $186K (Employer est.),166500.0,Senior,0.9397762396774257,16650.0
Afterpay,4.1,"Software Engineer, Incentive","Seattle, WA",3d,$129K - $174K (Glassdoor est.),151500.0,Senior,0.6043747274250209,15150.0
Harvard University,5.0,Software Engineer,"Boston, MA",30d+,$89K - $125K (Glassdoor est.),107000.0,Mid Level,-0.3906497589237801,5350.0
Brooks Automation,3.0,Software Development Engineer,"Fremont, CA",4d,$165K - $190K (Employer est.),177500.0,Senior,1.1857373486625227,17750.0
DLRdmv,3.5,Software Engineer,"Dallas, TX",2d,$110K - $160K (Employer est.),135000.0,Senior,0.2354330639473756,13500.0
Movius Interactive Corporation,3.3,Software Engineer- Frontend,"Fremont, CA",1d,$61K - $110K (Glassdoor est.),85500.0,Mid Level,-0.8713919264855604,4275.0
State Street,3.7,Software Engineer,"Burlington, MA",3d,$94K - $154K (Employer est.),124000.0,Senior,-0.010528045037721295,12400.0
"Sonalysts, Inc.",3.8,Junior Software Engineer,"Waterford, CT",1d,$75K - $115K (Employer est.),95000.0,Mid Level,-0.6589709687257039,4750.0
"Preco, LLC",3.6,Software Engineer,"Somerset, WI",4d,$62K - $106K (Glassdoor est.),84000.0,Mid Level,-0.9049320777108009,4200.0
HealthStream,3.6,Software Developer,"Nashville, TN",10d,$72K - $118K (Glassdoor est.),95000.0,Mid Level,-0.6589709687257039,4750.0
Aptiv plc,4.0,Software Engineer,"Troy, MI",30d+,$75K - $118K (Glassdoor est.),96500.0,Mid Level,-0.6254308175004635,4825.0
Zipongo,3.8,Software Engineer - Epic Integrations,Remote,30d+,$98K - $137K (Glassdoor est.),117500.0,Mid Level,-0.1558687003470967,5875.0
Snowflake,3.7,Software Engineer - Snowpark,"Bellevue, WA",2d,$113K - $150K (Employer est.),131500.0,Senior,0.15717271108848113,13150.0
Staffed4U,4.2,Software Engineer (Level 0 - Level II),"Annapolis Junction, MD",10d,$110K - $140K (Employer est.),125000.0,Senior,0.011832055779105694,12500.0
Honeycomb.io,4.2,Midlevel Site Reliability Engineer,United States,10d,$141K - $179K (Employer est.),160000.0,Senior,0.7944355843680503,16000.0
Topaz Labs,3.8,"Software Engineer, Infrastructure","Dallas, TX",8d,$77K - $136K (Glassdoor est.),106500.0,Mid Level,-0.4018298093321936,5325.0
WEG Electric Corp,4.3,Software Engineer - Wind,"Barre, VT",6d,$80K (Employer est.),80000.0,Mid Level,-0.9943724809781088,4000.0
Brown and Caldwell,4.3,Software Engineer,"Atlanta, GA",3d,$79K - $126K (Glassdoor est.),102500.0,Mid Level,-0.49127021259950154,5125.0
Vertafore,3.7,Software Engineer II,"Melville, NY",2d,$87K - $119K (Glassdoor est.),103000.0,Mid Level,-0.4800901621910881,5150.0
"Aerodyne Industries, LLC",3.1,Simulation Software Engineer (ADV00095I),"Kennedy Sp Ct, FL",1d,$72K - $94K (Glassdoor est.),83000.0,Mid Level,-0.9272921785276278,4150.0
KAIROS Inc,3.5,Software Engineer,"Dahlgren, VA",16d,$6K - $7K (Employer est.),6500.0,Junior,-2.6378398910148926,325.0
Topaz Labs,3.7,Senior Software Engineer - Photo AI,"Dallas, TX",30d+,$68K - $106K (Glassdoor est.),87000.0,Mid Level,-0.8378517752603198,4350.0
S3,3.8,Software Engineer- 826245,"Stennis Space Center, MS",20d,$56K - $88K (Glassdoor est.),72000.0,Mid Level,-1.1732532875127248,3600.0
"J. Paul Getty Trust, The",4.1,Software Engineer Sr,"Los Angeles, CA",30d+,$72K - $113K (Glassdoor est.),92500.0,Mid Level,-0.7148712207677714,4625.0
Topaz Labs,3.4,Software Engineer - ML Performance / HPC,"Dallas, TX",30d+,$90K - $119K (Glassdoor est.),104500.0,Mid Level,-0.44655001096584757,5225.0
Rover.com,3.2,"Senior Software Engineer, Orders Team","Seattle, WA",25d,$101K - $135K (Glassdoor est.),118000.0,Mid Level,-0.14468864993868322,5900.0
University of Oregon,3.8,Research Software Engineer,"Eugene, OR",2d,$155K - $180K (Employer est.),167500.0,Senior,0.9621363404942528,16750.0
dōTERRA International,4.0,Software Engineer II,Utah,12d,$85K - $114K (Glassdoor est.),99500.0,Mid Level,-0.5583505150499826,4975.0
AHU Technologies,4.6,Software Engineer,"Newark, DE",12d,$130K - $160K (Employer est.),145000.0,Senior,0.45903407211564545,14500.0
ALSTOM,3.4,Software Engineer,"Pittsburgh, PA",2d,$160K - $250K (Employer est.),205000.0,Senior,1.8006401211252647,20500.0
Jack Henry & Associates,2.9,Software Release Engineer,United States,8d,$100K (Employer est.),100000.0,Mid Level,-0.547170464641569,5000.0
ISPA Technology,3.0,Junior Software Systems Engineer,"Washington, DC",23d,$120K - $150K (Employer est.),135000.0,Senior,0.2354330639473756,13500.0
"Universal Health Services, Inc. - Corporate Office",3.4,Associate Software Engineer - Data Analytics,"King of Prussia, PA",30d+,$96K - $146K (Glassdoor est.),121000.0,Senior,-0.07760834748820226,12100.0
Relias,3.8,Associate Software Engineer,"Morrisville, NC",4d,$107K - $144K (Glassdoor est.),125500.0,Senior,0.02301210618751919,12550.0
Tickrs Clearing,3.1,Software Engineer,"Irvine, CA",2d,$138K - $189K (Glassdoor est.),163500.0,Senior,0.8726959372269448,16350.0
CTC Group,4.8,Software Engineer,"Fort Meade, MD",30d+,$78K - $118K (Glassdoor est.),98000.0,Mid Level,-0.591890666275223,4900.0
GoTab Inc,3.5,Jr. Deployment Engineer,"Arlington, VA",10d,$113K - $139K (Glassdoor est.),126000.0,Senior,0.034192156595932686,12600.0
ILOGIC INC,3.5,SOFTWARE DEVELOPERS,Township of Hamilton,30d+,$80.00 Per Hour (Employer est.),80.0,Junior,-2.7813917382589217,4.0
CSX,3.8,Software Engineer II - Service Now,"Jacksonville, FL",23d,$70K - $109K (Glassdoor est.),89500.0,Mid Level,-0.7819515232182525,4475.0
Synergy ECP,4.4,Junior Software Engineer,"Fort Meade, MD",2d,$73K - $117K (Glassdoor est.),95000.0,Mid Level,-0.6589709687257039,4750.0
M&T Bank,5.0,Software Engineer III,"Wilmington, DE",30d+,$62K - $107K (Glassdoor est.),84500.0,Mid Level,-0.8937520273023873,4225.0
Cardlytics,5.0,Software Engineer III,"Menlo Park, CA",18d,$124K - $169K (Glassdoor est.),146500.0,Senior,0.49257422334088596,14650.0
"Stefanini, Inc",3.8,AWS Cloud Engineer,"Richmond, VA",1d,$96K - $117K (Employer est.),106500.0,Mid Level,-0.4018298093321936,5325.0
Innovative Systems,3.8,C Software Engineer,"Pittsburgh, PA",9d,$84K - $140K (Glassdoor est.),112000.0,Mid Level,-0.2788492548396452,5600.0
Parabola,3.8,"Software Engineer, Full Stack",United States,8d,$66K - $94K (Glassdoor est.),80000.0,Mid Level,-0.9943724809781088,4000.0
Vibrint,3.5,Software Engineer I (Python Developer),United States,11d,$70K - $120K (Employer est.),95000.0,Mid Level,-0.6589709687257039,4750.0
Millennium Management,4.2,Front End Engineer,United States,4d,$78K - $126K (Employer est.),102000.0,Mid Level,-0.5024502630079151,5100.0
Sagitec,3.9,Software Engineer,"Saint Paul, MN",2d,$165K - $209K (Employer est.),187000.0,Senior,1.398158306422379,18700.0
Careerus Soultions,4.0,DevOps Engineer,Unknown,2d,$90K - $125K (Glassdoor est.),107500.0,Mid Level,-0.3794697085153666,5375.0
Innovien Solutions,3.3,Sr. Software Engineer,"Atlanta, GA",6d,$116K - $150K (Employer est.),133000.0,Senior,0.19071286231372162,13300.0
Ocean Power Technologies Inc,3.8,Software Engineer,United States,2d,$107K - $192K (Employer est.),149500.0,Senior,0.5596545257913669,14950.0
Riverside Research Institute,4.8,Software Engineer,"Fairborn, OH",3d,$79K - $120K (Glassdoor est.),99500.0,Mid Level,-0.5583505150499826,4975.0
Staffed4U,5.0,Java Software Engineer,"Annapolis Junction, MD",30d+,$94K - $153K (Employer est.),123500.0,Senior,-0.02170809544613479,12350.0
Uber Freight,5.0,Software Engineer II,"Chicago, IL",1d,$84K - $129K (Glassdoor est.),106500.0,Mid Level,-0.4018298093321936,5325.0
Diverse Career Solutions,3.7,Software Engineer,Unknown,2d,$48K - $81K (Glassdoor est.),64500.0,Junior,-1.3409540436389271,3225.0
Snowflake,4.1,Software Engineer - Database Engineering,"Bellevue, WA",4d,$82K - $129K (Glassdoor est.),105500.0,Mid Level,-0.4241899101490206,5275.0
Likewize,4.0,Jr DevOps Engineer,"Dallas, TX",2d,$61K - $104K (Glassdoor est.),82500.0,Mid Level,-0.9384722289360413,4125.0
MassMutual Ascend,4.0,Senior Software Engineer II,"Cincinnati, OH",19d,$182K - $244K (Employer est.),213000.0,Senior,1.9795209276598806,21300.0
Washington DC government,4.7,React Developer,Remote,2d,$96K - $116K (Employer est.),106000.0,Mid Level,-0.4130098597406071,5300.0
AnaVation,3.7,Software Developer,"Quantico, VA",3d,$68K - $136K (Employer est.),102000.0,Mid Level,-0.5024502630079151,5100.0
3R Info,3.9,Software Engineer,"Canton, MI",30d+,$93K - $132K (Glassdoor est.),112500.0,Mid Level,-0.26766920443123166,5625.0
Strategic Mission Elements,3.5,Software Developer (TypeScript/JavaScript),"Chantilly, VA",26d,$77K - $125K (Glassdoor est.),101000.0,Mid Level,-0.524810363824742,5050.0
"IPSecure, Inc.",3.9,Senior Software Engineer,"Patrick AFB, FL",4d,$52K - $200K (Employer est.),126000.0,Senior,0.034192156595932686,12600.0
RELX,3.2,Software Engineer II,Georgia,2d,$81K - $118K (Glassdoor est.),99500.0,Mid Level,-0.5583505150499826,4975.0
Solventum,3.6,Software Engineer - Front-end (Solventum),"Maplewood, MN",3d,$128K - $192K (Employer est.),160000.0,Senior,0.7944355843680503,16000.0
Focus Technology Solutions Inc,3.0,Cloud Engineer,"Boston, MA",4d,$150K - $225K (Employer est.),187500.0,Senior,1.4093383568307924,18750.0
Two Six Technologies,4.1,Software Engineer,"Warrenton, VA",17d,$50.00 Per Hour (Employer est.),50.0,Junior,-2.782062541283427,2.5
"Adams, Inc.",3.2,Software Engineer,Tennessee,4d,$85K - $120K (Employer est.),102500.0,Mid Level,-0.49127021259950154,5125.0
CPS Insurance Services,3.4,Junior Software Developer,"Phoenix, AZ",1d,$192K - $245K (Employer est.),218500.0,Senior,2.1025014821524293,21850.0
Cephas,3.1,Software Engineer,"Melbourne, FL",4d,$114K - $182K (Employer est.),148000.0,Senior,0.5261143745661264,14800.0
Chubb,3.4,Software Engineer - Java Springboot (DT),"Whitehouse Station, NJ",3d,$102K - $134K (Glassdoor est.),118000.0,Mid Level,-0.14468864993868322,5900.0
Uber Freight,3.6,Software Engineer III - Mobile (Multiple Openings),"San Francisco, CA",9d,$101K - $160K (Employer est.),130500.0,Senior,0.13481261027165414,13050.0
Consumers Energy,4.8,Assoc Software Engineer,"Jackson, MI",6d,$90K - $124K (Glassdoor est.),107000.0,Mid Level,-0.3906497589237801,5350.0
U.S. Bank National Association,3.4,Senior Software Engineer,"Hopkins, MN",1d,$88K - $128K (Glassdoor est.),108000.0,Mid Level,-0.36828965810695313,5400.0
MedImpact Healthcare Systems,3.5,Software Engineer IV,"San Diego, CA",30d+,$83K - $131K (Glassdoor est.),107000.0,Mid Level,-0.3906497589237801,5350.0
IMC Financial Markets,3.1,Graduate Software Engineer,"Chicago, IL",17d,$70K - $90K (Employer est.),80000.0,Mid Level,-0.9943724809781088,4000.0
Truveta,4.0,Software Engineer - Normalization,"Seattle, WA",3d,$164K - $182K (Employer est.),173000.0,Senior,1.085116894986801,17300.0
"Signature Science, LLC",4.2,Software Engineer,"Egg Harbor Township, NJ",23d,$73K - $92K (Employer est.),82500.0,Mid Level,-0.9384722289360413,4125.0
JYG Innovations,4.1,Web Developers,"Frederick, MD",2d,$108K - $200K (Employer est.),154000.0,Senior,0.6602749794670884,15400.0
Vensit,3.5,Software Engineer,"Sayreville, NJ",30d+,$123K - $160K (Glassdoor est.),141500.0,Senior,0.380773719256751,14150.0
Independent Software,3.9,Software Engineer - Apprentice,United States,17d,$112K - $141K (Glassdoor est.),126500.0,Senior,0.04537220700434618,12650.0
"Visionist, Inc.",3.5,Junior Software Engineer,"Fort Meade, MD",10d,$101K - $160K (Employer est.),130500.0,Senior,0.13481261027165414,13050.0
NCR,3.1,Software Dev Ops Engineer II,Indiana,3d,$69K - $143K (Employer est.),106000.0,Mid Level,-0.4130098597406071,5300.0
Clearwater Analytics,3.6,Senior Software Development Engineer,"Seattle, WA",9d,$120K - $140K (Employer est.),130000.0,Senior,0.12363255986324063,13000.0
"Technical Intelligence Solutions, LLC",3.0,Software Engineer,"Crystal City, VA",2d,$68K - $120K (Glassdoor est.),94000.0,Mid Level,-0.681331069542531,4700.0
CVS Health,3.8,Associate Software Development Engineer - Colleague Experience,"Woonsocket, RI",29d,$104K - $136K (Glassdoor est.),120000.0,Senior,-0.09996844830502925,12000.0
"Delta Defense, LLC",3.9,"Associate Engineer, Analytics","West Bend, WI",2d,$82K - $115K (Glassdoor est.),98500.0,Mid Level,-0.5807106158668095,4925.0
Koalafi,3.2,Backend Software Engineer,"Richmond, VA",13d,$161K - $239K (Employer est.),200000.0,Senior,1.68883961704113,20000.0
INTEL,4.1,AI Research Engineer,Arizona,17d,$107K - $150K (Employer est.),128500.0,Senior,0.09009240863800015,12850.0
No.Inc,5.0,Software Engineer,"Baltimore, MD",5d,$91K - $122K (Glassdoor est.),106500.0,Mid Level,-0.4018298093321936,5325.0
f5,3.5,Software Engineer III,"Seattle, WA",30d+,$103K - $144K (Glassdoor est.),123500.0,Senior,-0.02170809544613479,12350.0
Arcadia Science,3.3,"Software Engineer, Product","Berkeley, CA",6d,$80K - $100K (Employer est.),90000.0,Mid Level,-0.7707714728098389,4500.0
Artint Knowledge Tech,3.5,Firmware (Linux) Dev I,Remote,5d,$100K - $128K (Employer est.),114000.0,Mid Level,-0.2341290532059912,5700.0
Castellum Inc,4.1,Software Engineer,"Patuxent River, MD",30d+,$90K - $180K (Employer est.),135000.0,Senior,0.2354330639473756,13500.0
Instacart,3.7,"Senior Software Engineer, Core Experiences",Remote,12d,$110K - $130K (Employer est.),120000.0,Senior,-0.09996844830502925,12000.0
WALGREENS,4.4,Software Engineer (RxR),"Deerfield, IL",1d,$76K - $121K (Glassdoor est.),98500.0,Mid Level,-0.5807106158668095,4925.0
Duquesne Light,3.6,Software Engineer III,"Pittsburgh, PA",16d,$88K - $111K (Employer est.),99500.0,Mid Level,-0.5583505150499826,4975.0
Super Micro Computer,3.0,Software Engineer,"San Jose, CA",30d+,$73K - $116K (Glassdoor est.),94500.0,Mid Level,-0.6701510191341175,4725.0
UCare,4.4,Software Engineer Senior â€“ Azure,"Minneapolis, MN",19d,$182K - $273K (Employer est.),227500.0,Senior,2.303742389503872,22750.0
CyberCore Technologies,2.6,Software Engineer 0,"Annapolis Junction, MD",9d,$85K - $113K (Glassdoor est.),99000.0,Mid Level,-0.569530565458396,4950.0
CoinFlip,3.5,AWS DevOps Engineer,"Chicago, IL",25d,$65K - $95K (Employer est.),80000.0,Mid Level,-0.9943724809781088,4000.0
BI Labs,4.1,SOFTWARE DEVELOPERS (021),"Plainsboro, NJ",30d+,$109K - $168K (Employer est.),138500.0,Senior,0.31369341680627005,13850.0
Sahbi Systems,4.1,Software Engineers,Alabama,18d,$80K - $99K (Glassdoor est.),89500.0,Mid Level,-0.7819515232182525,4475.0
Cultura Technologies Inc,4.4,Sr Software Engineer,Remote,1d,$104K - $153K (Glassdoor est.),128500.0,Senior,0.09009240863800015,12850.0
Excelacom,4.0,DevOps Engineer,"Denver, CO",3d,$78K - $129K (Glassdoor est.),103500.0,Mid Level,-0.46891011178267455,5175.0
Cityblock Health,4.1,Senior Software Engineer,New York State,9d,$82K - $118K (Glassdoor est.),100000.0,Mid Level,-0.547170464641569,5000.0
Rocket Software,4.3,Machine Learning Software Engineer,Massachusetts,3d,$138K - $294K (Employer est.),216000.0,Senior,2.0466012301103618,21600.0
Huntington Ingalls Industries Inc.,3.3,Software Engineer (Hybrid) - 19943,"Columbia, MD",11d,$136K - $187K (Glassdoor est.),161500.0,Senior,0.8279757355932909,16150.0
Intuitive Machines LLC,3.8,Research Software Engineer,"Houston, TX",10d,$295K - $440K (Employer est.),269179.9501337884,Senior,3.2357102765357024,26917.99501337884
Equifax,4.4,Software Engineer - Career,"Alpharetta, GA",3d,$95K - $146K (Glassdoor est.),120500.0,Senior,-0.08878839789661576,12050.0
Super Micro Computer,4.0,Software Engineer,"San Jose, CA",19d,$117K - $161K (Employer est.),139000.0,Senior,0.3248734672146835,13900.0
Akamai,4.0,Software Engineer - Remote,United States,9d,$173K (Employer est.),173000.0,Senior,1.085116894986801,17300.0
Mailprotector,4.6,Software Engineer,Remote,2d,$50.00 Per Hour (Employer est.),50.0,Junior,-2.782062541283427,2.5
Blockit Now Inc,3.8,Elixir Software Engineer,"McKinney, TX",5d,$175K - $250K (Employer est.),212500.0,Senior,1.9683408772514672,21250.0
TENICA and Associates LLC,4.1,Software Systems Engineer TS/SCI CI poly,"Las Cruces, NM",5d,$55K - $140K (Employer est.),97500.0,Mid Level,-0.6030707166836365,4875.0
Arch Capital Group Ltd.,3.9,Software Engineer II,"Greensboro, NC",5d,$126K - $234K (Employer est.),180000.0,Senior,1.2416376007045902,18000.0
Lynker Corporation,3.9,Software Engineer,"Stennis Space Center, MS",30d+,$78K - $129K (Employer est.),103500.0,Mid Level,-0.46891011178267455,5175.0
YouTube,3.2,"Senior Software Engineer, Full Stack, YouTube","New York, NY",1d,$75K - $102K (Glassdoor est.),88500.0,Mid Level,-0.8043116240350794,4425.0
Perforce Software,4.2,Senior Software Engineer - US,Remote,2d,$115K - $150K (Employer est.),132500.0,Senior,0.17953281190530812,13250.0
World Vision USA,3.8,Sr. Software Engineer,United States,16d,$115K - $160K (Employer est.),137500.0,Senior,0.29133331598944306,13750.0
Featurespace,5.0,Software Engineer,"Atlanta, GA",30d+,$82K - $92K (Employer est.),87000.0,Mid Level,-0.8378517752603198,4350.0
Bigbear.ai,3.7,Software Engineer,"Columbia, MD",9d,$120K - $130K (Employer est.),125000.0,Senior,0.011832055779105694,12500.0
"Benistar Administrative Services, Inc.",3.9,AWS Cloud Engineer,"Avon, CT",2d,$86K - $131K (Glassdoor est.),108500.0,Mid Level,-0.3571096076985396,5425.0
State of Colorado Job Opportunities,4.7,Cloud Engineer (Remote from anywhere in Colorado),Colorado,2d,$92K - $133K (Glassdoor est.),112500.0,Mid Level,-0.26766920443123166,5625.0
Intellisource Colorado LLC,3.1,Senior Software Engineer - Enterprise People Technology,"Bentonville, AR",3d,$112K - $165K (Glassdoor est.),138500.0,Senior,0.31369341680627005,13850.0
"First Command Financial Services, Inc.",4.2,Software Engineer,Unknown,2d,$50.00 - $70.00 Per Hour (Employer est.),60.0,Junior,-2.781838940275258,3.0
NBCUniversal,4.4,Post Software Engineer,"Englewood Cliffs, NJ",3d,$145K - $162K (Employer est.),153500.0,Senior,0.6490949290586748,15350.0
Artera Technologies,4.4,Cloud Software Engineers,United States,6d,$147K - $189K (Employer est.),168000.0,Senior,0.9733163909026662,16800.0
Thompson Gray Inc.,4.7,Engineer (Software),Redstone Arsenal,30d+,$72K - $159K (Employer est.),115500.0,Mid Level,-0.2005889019807507,5775.0
Origence,4.0,Software Engineer - CUDL Modernization,Remote,1d,$79K - $111K (Glassdoor est.),95000.0,Mid Level,-0.6589709687257039,4750.0
Medius,3.6,Software Engineer,"Jacksonville, FL",30d+,$115K - $161K (Employer est.),138000.0,Senior,0.30251336639785653,13800.0
f5,3.8,Principal Software Engineer,"Seattle, WA",4d,$82K - $102K (Employer est.),92000.0,Mid Level,-0.726051271176185,4600.0
CNH Industrial,3.8,Software Engineer II,Remote,2d,$86K - $136K (Glassdoor est.),111000.0,Mid Level,-0.30120935565647217,5550.0
Fusion Plus Solutions Inc.,3.7,Software Engineers,"Edison, NJ",30d+,$170K - $200K (Employer est.),185000.0,Senior,1.353438104788725,18500.0
University of Florida,3.2,Software Engineer I/II,Florida,16d,$90K - $116K (Glassdoor est.),103000.0,Mid Level,-0.4800901621910881,5150.0
Northwestern Mutual,3.8,Software Engineer,"Franklin, WI",4d,$114K - $152K (Glassdoor est.),133000.0,Senior,0.19071286231372162,13300.0
Vibrint,3.8,Software Engineer I,"Annapolis Junction, MD",30d+,$80K - $120K (Employer est.),100000.0,Mid Level,-0.547170464641569,5000.0
